user_id,created_at,location,favorite_count,retweet_count,text
parrillasevil,Tue Nov 29 01:11:22 +0000 2016,,0,0,@sadswen SIMMM inclusive amei todas kkk
OzaniNeto,Tue Nov 29 01:11:22 +0000 2016,"Manaus, Brasil",0,0,O cara que chamou a responsa e praticamente sacramentou a permanência do Vitória na Série A. Jogadoraço. https://t.co/8MIovm2c3S
trabru,Tue Nov 29 01:11:22 +0000 2016,LMU München,0,0,"RT @JustinWolfers: ""In the past we have called such beliefs racist, neo-Nazi or white supremacist."" https://t.co/kCjagwLXle"
goatbob,Tue Nov 29 01:11:23 +0000 2016,,0,0,RT @BrettJSimpson: Being gay is natural. Hating gay people is a lifestyle choice.
cvasilevski,Tue Nov 29 01:11:22 +0000 2016,Toronto,0,0,"Tight balancing act between being Muslim but not ""too"" Muslim. #BeAnAlly"
Clay_Fisher17,Tue Nov 29 01:11:22 +0000 2016,"Philadelphia, PA",0,0,BACK◼️-IN-◼️BLACK
mnah200060_abo,Tue Nov 29 01:11:22 +0000 2016,,0,0,"سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته
♻️ https://t.co/hc1N427f7V"
pochiinF,Tue Nov 29 01:11:22 +0000 2016,,0,0,"あの日抱いた夢　見失いそうなRace
遥かな道のり　霞み過ぎてく
見つけられるだろう　いつか出逢うだろう
憧れ続けた　街の中で　　【GReeeeN/STORY】"
shemale_chat1,Tue Nov 29 01:11:23 +0000 2016,United States,0,0,Shemale/Transgender sex cams -&gt;&gt;https://t.co/YQyQHHF8PD https://t.co/YQyQHHF8PD https://t.co/YQyQHHF8PD DROOLFORME1 - i always have a smil…
MagicalWorker,Tue Nov 29 01:11:22 +0000 2016,"San Antonio, TX",0,0,"Oh cool,a parody accou....oh wait he's serious https://t.co/78QkyHxwvb"
